contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
BAC210618C00037000,2021-03-05 20:54:02,37.0,2.51,2.62,2.55,call,2021-06-18,0.2876712328767123,0.316162109375
BAC210618C00038000,2021-03-05 19:30:30,38.0,2.06,2.17,2.1,call,2021-06-18,0.2876712328767123,0.3045654296875
BAC210618C00039000,2021-03-05 20:49:47,39.0,1.67,1.74,1.72,call,2021-06-18,0.2876712328767123,0.302276611328125
BAC210618C00040000,2021-03-05 20:59:34,40.0,1.39,1.44,1.45,call,2021-06-18,0.2876712328767123,0.313568115234375
BAC210618P00034000,2021-03-05 19:43:51,34.0,1.43,1.48,1.5,put,2021-06-18,0.2876712328767123,0.3643798828125
BAC210618P00035000,2021-03-05 20:40:51,35.0,1.78,1.84,1.8,put,2021-06-18,0.2876712328767123,0.35125732421875
BAC210618P00036000,2021-03-05 20:42:23,36.0,2.19,2.26,2.23,put,2021-06-18,0.2876712328767123,0.3558349609375
BAC210618P00037000,2021-03-05 18:33:13,37.0,2.68,2.74,2.7,put,2021-06-18,0.2876712328767123,0.36041259765625
BAC210618P00038000,2021-03-05 15:37:14,38.0,3.2,3.3,3.45,put,2021-06-18,0.2876712328767123,0.37445068359375
BAC210618P00039000,2021-03-04 14:50:05,39.0,3.85,3.95,4.1,put,2021-06-18,0.2876712328767123,0.3753662109375
BAC210618P00040000,2021-03-04 15:21:51,40.0,4.5,4.6,4.95,put,2021-06-18,0.2876712328767123,0.4010009765625
BAC210716C00034000,2021-03-05 16:09:14,34.0,4.5,4.6,4.39,call,2021-07-16,0.3643835616438356,0.28045654296875
BAC210716C00035000,2021-03-05 15:55:15,35.0,3.85,4.0,3.7,call,2021-07-16,0.3643835616438356,0.2703857421875
BAC210716C00036000,2021-03-05 18:45:54,36.0,3.3,3.4,3.3,call,2021-07-16,0.3643835616438356,0.29541015625
BAC210716C00037000,2021-03-05 20:52:05,37.0,2.81,2.91,2.88,call,2021-07-16,0.3643835616438356,0.31494140625
BAC210716C00038000,2021-03-05 20:42:47,38.0,2.36,2.46,2.4,call,2021-07-16,0.3643835616438356,0.3009033203125
BAC210716C00039000,2021-03-05 18:47:37,39.0,1.96,2.07,1.96,call,2021-07-16,0.3643835616438356,0.29205322265625
BAC210716C00040000,2021-03-05 20:34:18,40.0,1.62,1.89,1.64,call,2021-07-16,0.3643835616438356,0.296478271484375
BAC210716P00034000,2021-03-05 19:16:19,34.0,1.68,1.74,1.79,put,2021-07-16,0.3643835616438356,0.36224365234375
BAC210716P00035000,2021-03-05 20:52:27,35.0,2.03,2.13,2.06,put,2021-07-16,0.3643835616438356,0.3466796875
BAC210716P00036000,2021-03-05 19:46:43,36.0,2.49,2.54,2.6,put,2021-07-16,0.3643835616438356,0.363616943359375
BAC210716P00037000,2021-03-05 14:57:13,37.0,2.95,3.05,3.15,put,2021-07-16,0.3643835616438356,0.37628173828125
BAC210716P00038000,2021-03-04 17:16:00,38.0,3.5,3.6,3.82,put,2021-07-16,0.3643835616438356,0.3790283203125
BAC210716P00039000,2021-03-04 17:16:00,39.0,4.1,4.25,4.46,put,2021-07-16,0.3643835616438356,0.37841796875
BAC210716P00040000,2021-03-04 20:44:43,40.0,4.75,4.9,4.95,put,2021-07-16,0.3643835616438356,0.36102294921875
BAC210820C00034000,2021-03-04 20:42:29,34.0,4.85,4.95,4.5,call,2021-08-20,0.4602739726027397,0.255126953125
BAC210820C00035000,2021-03-05 20:00:58,35.0,4.25,4.35,4.3,call,2021-08-20,0.4602739726027397,0.2996826171875
BAC210820C00036000,2021-03-05 20:11:52,36.0,3.7,3.8,3.75,call,2021-08-20,0.4602739726027397,0.30517578125
BAC210820C00037000,2021-03-05 20:17:38,37.0,3.2,3.3,3.25,call,2021-08-20,0.4602739726027397,0.313720703125
BAC210820C00038000,2021-03-05 20:16:38,38.0,2.75,2.93,2.84,call,2021-08-20,0.4602739726027397,0.30792236328125
BAC210820C00039000,2021-03-05 20:46:34,39.0,2.34,2.5,2.4,call,2021-08-20,0.4602739726027397,0.2996826171875
BAC210820C00040000,2021-03-05 20:58:50,40.0,2.01,2.16,2.03,call,2021-08-20,0.4602739726027397,0.2984619140625
BAC210820P00034000,2021-03-05 15:37:29,34.0,2.03,2.09,2.21,put,2021-08-20,0.4602739726027397,0.37200927734375
BAC210820P00035000,2021-03-05 17:45:23,35.0,2.41,2.5,2.6,put,2021-08-20,0.4602739726027397,0.370635986328125
BAC210820P00036000,2021-03-05 20:14:11,36.0,2.82,2.95,2.92,put,2021-08-20,0.4602739726027397,0.36163330078125
BAC210820P00037000,2021-03-05 19:28:22,37.0,3.35,3.45,3.45,put,2021-08-20,0.4602739726027397,0.369873046875
BAC210820P00038000,2021-03-05 18:19:30,38.0,3.9,4.0,4.15,put,2021-08-20,0.4602739726027397,0.3753662109375
BAC210820P00039000,2021-03-04 20:37:51,39.0,4.5,4.6,4.9,put,2021-08-20,0.4602739726027397,0.3857421875
BAC210820P00040000,2021-03-05 14:51:27,40.0,5.15,5.25,5.35,put,2021-08-20,0.4602739726027397,0.366058349609375
