contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
APHA210528P00017500,2021-04-23 17:03:09,6.0,17.5,3.35,3.7,3.55,put,2021-05-28,0.08767123287671233,1.0
APHA210528P00018000,2021-04-09 14:39:17,50.0,18.0,3.75,4.1,3.6,put,2021-05-28,0.08767123287671233,0.765625
APHA210528P00018500,2021-04-19 04:01:45,,18.5,4.15,4.55,5.09,put,2021-05-28,0.08767123287671233,1.4765625
APHA210528P00021000,2021-04-23 18:27:07,10.0,21.0,6.4,6.85,6.99,put,2021-05-28,0.08767123287671233,1.390625
APHA210528P00022000,2021-04-21 16:59:34,,22.0,7.35,7.75,8.79,put,2021-05-28,0.08767123287671233,1.9921875
APHA210604C00010500,2021-04-22 13:55:42,,10.5,4.15,4.9,3.8,call,2021-06-04,0.10684931506849316,
APHA210604C00012000,2021-04-26 19:30:23,1.0,12.0,2.99,3.45,3.15,call,2021-06-04,0.10684931506849316,0.75
APHA210604C00013500,2021-04-23 17:36:13,5.0,13.5,2.03,2.42,2.1,call,2021-06-04,0.10684931506849316,0.734375
APHA210604C00014000,2021-04-23 19:04:29,1.0,14.0,1.78,2.17,1.77,call,2021-06-04,0.10684931506849316,0.703125
APHA210604C00014500,2021-04-26 17:31:03,86.0,14.5,1.58,1.9,1.75,call,2021-06-04,0.10684931506849316,0.84375
APHA210604C00015000,2021-04-26 19:49:46,7.0,15.0,1.56,1.7,1.55,call,2021-06-04,0.10684931506849316,0.859375
APHA210604C00016000,2021-04-26 19:59:35,16.0,16.0,1.15,1.37,1.2,call,2021-06-04,0.10684931506849316,0.859375
APHA210604C00017000,2021-04-26 15:09:31,384.0,17.0,0.85,0.98,0.94,call,2021-06-04,0.10684931506849316,0.8984375
APHA210604C00019000,2021-04-26 16:28:37,6.0,19.0,0.52,0.62,0.58,call,2021-06-04,0.10684931506849316,0.9296875
APHA210604C00019500,2021-04-26 18:59:09,9.0,19.5,0.48,0.6,0.52,call,2021-06-04,0.10684931506849316,0.953125
APHA210604P00010000,2021-04-23 16:15:31,2.0,10.0,0.03,0.37,0.37,put,2021-06-04,0.10684931506849316,1.171875
APHA210604P00010500,2021-04-22 14:28:13,,10.5,0.12,0.43,0.31,put,2021-06-04,0.10684931506849316,1.0
APHA210604P00011500,2021-04-23 13:46:14,1.0,11.5,0.26,0.6,0.58,put,2021-06-04,0.10684931506849316,1.03125
APHA210604P00014500,2021-04-23 18:04:55,5.0,14.5,1.38,1.79,1.78,put,2021-06-04,0.10684931506849316,1.015625
APHA210618C00005000,2021-04-26 13:40:47,1.0,5.0,8.45,10.55,9.3,call,2021-06-18,0.14520547945205478,
APHA210618C00008000,2021-04-22 17:52:57,,8.0,6.35,7.25,5.6,call,2021-06-18,0.14520547945205478,
APHA210618C00009000,2021-04-26 19:13:55,3.0,9.0,5.6,6.1,6.0,call,2021-06-18,0.14520547945205478,1.03125
APHA210618C00010000,2021-04-21 16:25:31,1.0,10.0,4.6,5.15,3.95,call,2021-06-18,0.14520547945205478,
APHA210618C00011000,2021-04-26 13:53:36,1.0,11.0,3.95,4.3,3.6,call,2021-06-18,0.14520547945205478,
APHA210618C00012000,2021-04-22 17:30:11,5.0,12.0,3.2,3.55,3.5,call,2021-06-18,0.14520547945205478,0.859375
APHA210618C00013000,2021-04-26 15:19:49,9.0,13.0,2.58,2.92,2.6,call,2021-06-18,0.14520547945205478,0.7421875
APHA210618C00014000,2021-04-26 19:19:42,45.0,14.0,2.1,2.39,2.09,call,2021-06-18,0.14520547945205478,0.75
APHA210618C00015000,2021-04-26 19:22:04,171.0,15.0,1.68,1.94,1.77,call,2021-06-18,0.14520547945205478,0.828125
APHA210618C00016000,2021-04-23 18:14:25,1.0,16.0,1.41,1.6,1.45,call,2021-06-18,0.14520547945205478,0.84375
APHA210618C00017000,2021-04-26 19:52:12,54.0,17.0,1.11,1.35,1.19,call,2021-06-18,0.14520547945205478,0.8828125
